University
SU
SPU
WSU
UP
UP
UP
NWU
AIMS/UCT
UKZN
UCT
UNISA
UP
UP
SMU
UL
UL
WITS
UWC
UL
RU
UL
MU
UCT
UL
SMU
SPU
UP
AIMS
NWU
UKZN
SMU
TUT
UNISA
UL
UJ
WITS
UNIZUL
UP
UNIVEN
SMU
WITS
UL
UP
UCT
UL
SMU
